child,father,child_95,child_90,child_75,child_50,child_25,child_10,child_5
65.5,69.0,65.5,,,65.5,,65.5,
65.5,69.0,65.5,65.5,,65.5,,,
65.0,69.0,65.0,65.0,,,,,
64.0,69.0,64.0,64.0,,,,,
70.0,69.0,70.0,70.0,70.0,,,,
68.5,69.0,68.5,,68.5,,,,
67.0,69.0,67.0,67.0,67.0,,,,
65.0,69.0,65.0,,65.0,65.0,,,
64.0,69.0,64.0,64.0,,64.0,64.0,,
63.5,69.0,63.5,,63.5,,,,
61.0,69.0,61.0,,61.0,,,,
69.7,69.5,69.7,69.7,69.7,,,,
68.0,69.5,68.0,68.0,,68.0,,68.0,
60.0,69.5,60.0,60.0,60.0,,60.0,,
65.2,69.5,65.2,,65.2,65.2,,,
64.5,69.5,64.5,,64.5,64.5,64.5,,
63.7,69.5,63.7,63.7,63.7,,63.7,,
60.0,69.5,60.0,60.0,60.0,,,,
71.7,69.2,71.7,71.7,71.7,71.7,71.7,,
66.5,69.2,66.5,66.5,66.5,,,,
65.0,69.2,65.0,65.0,,65.0,,,
63.5,69.2,63.5,,63.5,63.5,,,
65.5,69.0,65.5,,65.5,,,,
69.0,69.0,69.0,,,,,,
67.5,69.0,67.5,67.5,,,,67.5,
63.5,69.0,63.5,63.5,,63.5,,,
72.0,69.0,72.0,72.0,72.0,72.0,72.0,,
73.0,69.0,73.0,73.0,73.0,73.0,,,
70.0,69.0,70.0,70.0,70.0,70.0,,,
70.0,69.0,70.0,70.0,,,,,
64.0,69.0,64.0,64.0,64.0,,,,
66.0,69.0,66.0,66.0,66.0,,,,
62.0,69.0,62.0,62.0,62.0,62.0,,,
70.5,69.0,,70.5,70.5,,,,
67.0,69.0,67.0,67.0,67.0,67.0,,,67.0
66.0,69.0,66.0,66.0,66.0,66.0,,,
65.0,69.0,65.0,65.0,65.0,,,,
63.0,69.0,63.0,63.0,63.0,,,,
62.0,69.0,62.0,62.0,,62.0,,,
61.0,69.0,61.0,61.0,61.0,61.0,,,
70.5,69.0,70.5,70.5,,70.5,,,
63.7,69.0,63.7,63.7,,63.7,63.7,,
63.0,69.0,63.0,63.0,63.0,,,,
62.5,69.7,62.5,,62.5,,,,
73.0,69.5,73.0,73.0,73.0,,,,
72.0,69.5,72.0,72.0,72.0,,72.0,,
69.0,69.5,,69.0,69.0,69.0,69.0,,
73.0,69.0,73.0,73.0,73.0,,,,
71.0,69.0,71.0,71.0,,,71.0,71.0,71.0
71.0,69.0,71.0,71.0,71.0,71.0,71.0,,
69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,
63.0,69.0,63.0,63.0,,,,,
72.0,69.5,72.0,72.0,72.0,72.0,,,
70.0,69.5,70.0,70.0,70.0,70.0,,,
67.8,69.5,67.8,67.8,67.8,,,,
65.2,69.5,65.2,65.2,65.2,65.2,65.2,,
64.7,69.5,64.7,64.7,64.7,,,,
64.5,69.5,64.5,64.5,64.5,64.5,,,
63.5,69.5,63.5,63.5,63.5,63.5,,,
63.5,69.5,,63.5,,63.5,,,
62.5,69.5,62.5,62.5,,62.5,,,
62.0,69.5,62.0,62.0,,,,,
61.5,69.5,61.5,61.5,61.5,,,,
71.0,69.0,71.0,71.0,71.0,,,,
70.0,69.0,,70.0,70.0,70.0,70.0,,
70.0,69.0,70.0,70.0,,70.0,,70.0,
69.0,69.0,69.0,69.0,69.0,,,,
63.5,69.0,63.5,63.5,,63.5,,,
62.5,69.0,62.5,62.5,62.5,,,62.5,
62.5,69.0,62.5,62.5,,,62.5,,62.5
62.0,69.0,62.0,62.0,,,,,62.0
72.0,69.0,,72.0,72.0,,,,
68.0,69.0,68.0,68.0,68.0,68.0,68.0,,
66.0,69.0,66.0,66.0,66.0,,,,
66.0,69.0,66.0,66.0,,,66.0,,
70.0,69.5,70.0,70.0,70.0,,70.0,,
69.5,69.5,69.5,69.5,69.5,69.5,,,
69.0,69.5,69.0,,,69.0,,,
63.0,69.5,63.0,,63.0,,,,
62.0,69.5,62.0,62.0,62.0,62.0,,,
68.0,69.0,68.0,68.0,68.0,68.0,,,
68.0,69.0,68.0,68.0,68.0,68.0,68.0,,
67.5,69.0,67.5,67.5,67.5,67.5,,,
64.0,69.0,64.0,64.0,64.0,,64.0,,
63.0,69.0,63.0,63.0,,,,,
63.0,69.0,,63.0,,,,,
63.5,69.0,63.5,63.5,63.5,,63.5,,
62.0,69.0,62.0,62.0,62.0,62.0,62.0,,62.0
62.0,69.0,62.0,,62.0,62.0,,,
70.5,69.0,70.5,70.5,70.5,,,,
68.0,69.0,68.0,68.0,68.0,,,,
62.5,69.0,62.5,62.5,62.5,62.5,,,
69.0,69.0,69.0,69.0,69.0,,,69.0,
66.0,69.0,66.0,66.0,66.0,,,,
61.7,69.0,61.7,61.7,61.7,61.7,,,
60.5,69.0,60.5,60.5,60.5,60.5,,,
69.5,69.0,69.5,69.5,,,69.5,,
71.0,68.7,71.0,71.0,71.0,71.0,,,
61.7,68.7,61.7,61.7,61.7,61.7,,,
73.0,68.5,73.0,73.0,73.0,73.0,,,
71.0,68.5,71.0,71.0,,,,,
67.0,68.5,67.0,67.0,67.0,67.0,,,
70.0,68.5,70.0,70.0,70.0,70.0,70.0,,
69.0,68.5,69.0,,,,,,
69.0,68.5,69.0,69.0,69.0,69.0,,,
68.7,68.5,68.7,68.7,,,,,
68.5,68.5,,68.5,,68.5,,,
68.5,68.5,68.5,68.5,68.5,68.5,,,
68.0,68.5,,68.0,,68.0,68.0,,
68.0,68.5,68.0,68.0,68.0,,,68.0,
68.0,68.5,68.0,68.0,68.0,68.0,68.0,68.0,
66.2,68.5,66.2,66.2,66.2,,66.2,,
63.2,68.5,63.2,63.2,63.2,63.2,,,
67.5,68.0,67.5,67.5,67.5,,,67.5,67.5
66.0,68.0,66.0,66.0,66.0,,66.0,,
66.0,68.0,66.0,66.0,,,,,
64.0,68.0,64.0,64.0,64.0,64.0,,,
71.7,68.0,71.7,71.7,,71.7,,,71.7
71.5,68.0,71.5,71.5,,,,,
70.7,68.0,70.7,70.7,70.7,70.7,70.7,,
65.5,68.0,65.5,65.5,65.5,,,,
66.5,68.0,66.5,66.5,66.5,,,,
65.2,68.0,65.2,65.2,65.2,65.2,,,
61.5,68.0,61.5,61.5,61.5,,61.5,,
72.0,68.0,72.0,72.0,72.0,,72.0,,
72.0,68.0,72.0,72.0,72.0,,,,
68.0,68.0,68.0,68.0,68.0,,,,
66.0,68.0,66.0,66.0,66.0,66.0,66.0,,
69.2,68.5,69.2,69.2,69.2,69.2,,69.2,
68.0,68.5,68.0,68.0,,,,,
66.0,68.5,66.0,66.0,66.0,,,,
66.0,68.5,66.0,66.0,,66.0,,66.0,
62.0,68.5,62.0,62.0,,,,,
61.5,68.5,61.5,61.5,61.5,,,,
61.0,68.5,61.0,61.0,61.0,61.0,,,
60.0,68.5,60.0,60.0,60.0,,,,60.0
72.0,68.5,72.0,,72.0,72.0,72.0,,
70.5,68.5,70.5,70.5,70.5,70.5,,,
68.7,68.5,68.7,68.7,,68.7,,,
68.5,68.5,68.5,68.5,68.5,68.5,,,
67.7,68.5,67.7,,,67.7,67.7,,
64.0,68.5,64.0,64.0,,,,,
63.5,68.5,63.5,63.5,63.5,63.5,,,63.5
63.0,68.5,63.0,63.0,63.0,63.0,,,
71.0,68.0,71.0,71.0,71.0,71.0,,,
68.0,68.0,68.0,68.0,68.0,,,,
68.0,68.0,68.0,68.0,68.0,68.0,,,68.0
67.0,68.0,67.0,67.0,,,,,
65.0,68.0,65.0,65.0,65.0,65.0,65.0,,65.0
64.0,68.0,64.0,64.0,64.0,,,,
63.0,68.0,63.0,63.0,,63.0,,,
63.0,68.0,63.0,63.0,63.0,,,63.0,63.0
62.0,68.0,62.0,62.0,,62.0,,,
61.0,68.0,61.0,61.0,61.0,,,61.0,
66.0,68.0,66.0,66.0,,66.0,66.0,,
63.0,68.0,63.0,63.0,63.0,,,,
65.5,68.0,65.5,65.5,,,,,
62.0,68.0,62.0,62.0,62.0,,62.0,,
71.2,68.0,71.2,71.2,71.2,71.2,,,
71.2,68.0,71.2,71.2,,71.2,,,
69.0,68.0,69.0,,69.0,69.0,69.0,,
68.5,68.0,68.5,68.5,68.5,68.5,68.5,,
62.5,68.0,62.5,62.5,62.5,,62.5,,
62.0,68.0,62.0,62.0,62.0,62.0,62.0,,
69.0,68.0,69.0,,69.0,69.0,,,
67.0,68.0,67.0,67.0,67.0,67.0,67.0,,
66.0,68.0,66.0,66.0,66.0,66.0,66.0,,
66.0,68.0,66.0,66.0,66.0,66.0,,,
66.0,68.0,66.0,66.0,66.0,,,,
65.0,68.0,65.0,65.0,65.0,,,,
65.0,68.0,65.0,65.0,65.0,,65.0,,
65.0,68.0,65.0,65.0,65.0,65.0,,65.0,
64.0,68.0,64.0,64.0,64.0,64.0,64.0,,
63.0,68.0,63.0,63.0,,63.0,,,63.0
70.5,68.0,70.5,70.5,70.5,,,,
70.0,68.0,70.0,70.0,70.0,70.0,70.0,,
68.0,68.0,68.0,,68.0,,68.0,,
66.0,68.0,66.0,66.0,,66.0,,,
66.0,68.0,66.0,66.0,66.0,,,,
66.0,68.0,,66.0,66.0,,,,
62.0,68.0,62.0,62.0,62.0,,,,
61.5,68.0,61.5,61.5,61.5,,,,
73.5,68.5,73.5,73.5,73.5,,73.5,73.5,
70.0,68.5,70.0,,70.0,,,,
69.5,68.5,69.5,,69.5,69.5,,,
65.5,68.5,65.5,65.5,65.5,,,65.5,
67.0,68.0,67.0,67.0,67.0,67.0,,,
70.0,68.0,70.0,70.0,70.0,70.0,70.0,,
68.0,68.0,68.0,,68.0,68.0,,,
64.5,68.0,64.5,64.5,64.5,,64.5,,
64.0,68.0,64.0,64.0,64.0,,,64.0,
71.0,68.0,71.0,71.0,71.0,71.0,,,
68.0,68.0,68.0,68.0,68.0,68.0,,,
66.0,68.0,66.0,66.0,66.0,66.0,,,
65.5,68.0,65.5,65.5,65.5,,65.5,,
65.0,68.0,65.0,65.0,65.0,65.0,,,
63.0,68.0,63.0,63.0,,63.0,63.0,,
62.0,68.0,62.0,62.0,62.0,62.0,,,62.0
62.0,68.0,62.0,62.0,62.0,,,,
67.0,68.0,67.0,67.0,67.0,,,67.0,
67.0,68.0,67.0,67.0,,,67.0,,
66.0,68.0,66.0,66.0,66.0,,,,
64.0,68.0,64.0,64.0,64.0,64.0,,64.0,
63.5,68.0,63.5,63.5,63.5,63.5,63.5,63.5,
61.0,68.0,61.0,61.0,,61.0,,,
68.2,68.5,68.2,68.2,68.2,68.2,68.2,,
70.0,68.0,70.0,70.0,70.0,70.0,,,
70.0,68.2,70.0,70.0,,,,,
69.0,68.2,69.0,,69.0,,69.0,,
67.0,68.2,67.0,67.0,67.0,,,,
65.5,68.2,65.5,65.5,65.5,,,,
64.5,68.2,64.5,64.5,64.5,64.5,,,
68.5,68.0,68.5,68.5,68.5,,,,68.5
67.7,68.7,67.7,67.7,67.7,67.7,,67.7,
61.7,68.7,61.7,61.7,61.7,61.7,,,61.7
66.5,68.0,66.5,66.5,,,66.5,66.5,
68.5,68.0,68.5,68.5,,68.5,,,
68.0,68.0,68.0,68.0,68.0,68.0,,68.0,
64.0,68.0,64.0,64.0,64.0,64.0,,,64.0
63.5,68.0,63.5,63.5,63.5,63.5,63.5,,
63.0,68.0,,63.0,63.0,63.0,,,
66.7,68.0,66.7,66.7,66.7,,,66.7,
64.0,68.0,,,,64.0,,,
61.0,68.0,61.0,61.0,61.0,61.0,61.0,,
61.0,68.0,61.0,61.0,61.0,61.0,,,
60.0,68.0,60.0,60.0,,,,,
60.0,68.0,60.0,60.0,,60.0,,,
60.0,68.0,60.0,60.0,,60.0,,,
56.0,68.0,56.0,56.0,56.0,56.0,,,
67.5,68.0,67.5,67.5,,,67.5,67.5,
67.0,68.0,67.0,67.0,67.0,,,,
66.5,68.0,66.5,66.5,66.5,66.5,,,
60.0,68.0,60.0,60.0,,,,,
69.0,68.5,69.0,69.0,69.0,69.0,,,
68.0,68.0,68.0,68.0,68.0,,,,
65.0,68.0,65.0,65.0,65.0,65.0,65.0,,
64.7,68.0,64.7,64.7,64.7,64.7,,,
64.0,68.0,64.0,64.0,64.0,,64.0,,
64.0,68.0,64.0,64.0,,64.0,64.0,,
63.0,68.0,63.0,63.0,63.0,63.0,,,
65.0,68.0,,65.0,65.0,65.0,,,
65.0,68.0,65.0,65.0,65.0,,65.0,,
62.0,68.0,62.0,62.0,62.0,62.0,,,
61.0,68.0,61.0,61.0,61.0,61.0,61.0,,
72.7,67.0,72.7,72.7,72.7,,72.7,,
72.7,67.0,72.7,72.7,72.7,,72.7,,
71.5,67.0,71.5,71.5,71.5,71.5,,,
65.5,67.0,65.5,65.5,65.5,65.5,,,
63.5,67.0,63.5,63.5,63.5,,63.5,,
71.0,67.0,71.0,71.0,,71.0,71.0,71.0,71.0
73.0,67.0,73.0,73.0,73.0,,73.0,,
71.0,67.0,71.0,71.0,71.0,71.0,71.0,,
70.7,67.0,70.7,70.7,70.7,70.7,70.7,,
70.0,67.0,70.0,70.0,70.0,70.0,70.0,,
69.0,67.0,69.0,69.0,69.0,69.0,,,
68.0,67.0,68.0,68.0,68.0,68.0,,,
65.5,67.0,65.5,65.5,65.5,65.5,,,65.5
62.0,67.0,62.0,62.0,62.0,62.0,,,
69.7,67.0,69.7,69.7,69.7,69.7,,,
67.5,67.0,67.5,67.5,,67.5,67.5,,
65.5,67.0,65.5,65.5,65.5,65.5,,,
65.0,67.0,65.0,65.0,65.0,,65.0,,
64.5,67.0,64.5,64.5,64.5,64.5,,,
63.5,67.0,63.5,63.5,63.5,,63.5,,
70.0,67.0,70.0,70.0,70.0,70.0,,70.0,
69.0,67.0,69.0,,69.0,,,,
65.5,67.0,65.5,65.5,65.5,,,,
65.5,67.0,,65.5,65.5,,65.5,,
63.0,67.0,63.0,63.0,63.0,,63.0,,
70.0,67.0,70.0,70.0,70.0,70.0,,,
67.7,67.0,67.7,67.7,67.7,,,67.7,
63.0,67.0,63.0,63.0,63.0,,,,
60.0,67.0,60.0,60.0,,,,,
65.0,67.0,65.0,65.0,,,65.0,,
62.0,67.0,62.0,62.0,,62.0,,,
62.0,67.0,62.0,62.0,62.0,,,,
71.0,67.5,71.0,,71.0,,,,
69.0,67.5,69.0,69.0,69.0,69.0,,,
64.0,67.5,64.0,64.0,64.0,64.0,,,
64.0,67.5,,64.0,64.0,64.0,,,
63.0,67.5,63.0,63.0,63.0,63.0,,,
63.0,67.5,63.0,63.0,63.0,63.0,,,
63.0,67.5,63.0,63.0,,63.0,,,
63.0,67.5,63.0,63.0,,,63.0,63.0,
63.0,67.5,63.0,63.0,,63.0,,63.0,
62.5,67.5,62.5,62.5,62.5,62.5,,,
62.0,67.5,62.0,,62.0,,,62.0,
71.5,67.0,71.5,71.5,,71.5,,,
70.0,67.0,70.0,70.0,,70.0,,,
67.0,67.0,67.0,67.0,67.0,,,,
67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,
71.0,67.0,71.0,71.0,71.0,,,,
70.2,67.0,70.2,70.2,70.2,70.2,,,
69.2,67.0,69.2,69.2,69.2,69.2,,,
68.5,67.0,68.5,68.5,,,68.5,,68.5
68.0,67.0,68.0,68.0,,68.0,,,
67.0,67.0,67.0,67.0,67.0,67.0,,,
65.5,67.0,65.5,65.5,65.5,,,,
63.5,67.0,,63.5,63.5,63.5,,,
69.0,67.0,69.0,,69.0,69.0,,,
68.0,67.0,68.0,68.0,68.0,,,,
63.0,67.0,63.0,63.0,63.0,63.0,63.0,,
70.0,67.5,70.0,70.0,70.0,70.0,,,
69.5,67.5,69.5,69.5,69.5,,69.5,,
69.0,67.5,69.0,69.0,69.0,,,,
68.5,67.5,68.5,68.5,68.5,68.5,,,
66.0,67.5,66.0,66.0,66.0,66.0,,,
67.0,67.0,67.0,67.0,67.0,,67.0,67.0,
70.5,66.0,70.5,70.5,70.5,70.5,,,
70.5,66.0,70.5,70.5,,70.5,,,
67.0,66.0,67.0,67.0,67.0,67.0,,,
66.0,66.0,66.0,66.0,,66.0,66.0,,
66.0,66.0,66.0,66.0,66.0,,66.0,,
62.0,66.0,62.0,62.0,62.0,62.0,,,
62.0,66.0,62.0,,,,,,
61.5,66.0,61.5,,61.5,61.5,,,
72.0,66.0,72.0,72.0,72.0,,,72.0,
65.0,66.0,65.0,65.0,65.0,,,,
65.0,66.0,65.0,65.0,,65.0,,65.0,
67.0,66.0,67.0,67.0,67.0,,,,67.0
64.0,66.0,64.0,64.0,64.0,,64.0,,
64.0,66.0,64.0,64.0,,,,,
62.0,66.0,,62.0,62.0,,,,62.0
60.0,66.0,60.0,60.0,60.0,60.0,,,
60.0,66.0,60.0,60.0,,,,,
66.0,66.0,66.0,,,66.0,,,
65.0,66.0,,65.0,65.0,65.0,,,65.0
67.0,66.0,67.0,67.0,67.0,,67.0,,
66.5,66.0,66.5,66.5,,,,,
65.5,66.0,65.5,65.5,65.5,65.5,65.5,65.5,
72.0,66.0,72.0,72.0,72.0,,,,
68.0,66.0,68.0,68.0,68.0,68.0,68.0,,
66.0,66.0,66.0,66.0,,66.0,66.0,,
65.0,66.0,65.0,65.0,65.0,,65.0,65.0,
62.0,66.0,62.0,62.0,62.0,62.0,,,
61.0,66.0,61.0,61.0,61.0,61.0,,61.0,
68.7,66.5,68.7,68.7,68.7,,,,
68.5,66.5,68.5,68.5,,68.5,68.5,,
66.5,66.5,66.5,66.5,66.5,,,,
64.5,66.5,64.5,64.5,64.5,,,,
62.5,66.5,62.5,62.5,62.5,,62.5,,
60.5,66.5,60.5,60.5,60.5,,,,
60.5,66.5,60.5,60.5,60.5,60.5,,,
57.5,66.5,57.5,,57.5,57.5,,,
72.0,66.0,72.0,72.0,,,,,
71.0,66.0,71.0,71.0,71.0,71.0,,,
67.0,66.0,67.0,67.0,67.0,67.0,,,
66.0,66.0,66.0,66.0,66.0,,66.0,,66.0
65.0,66.0,65.0,65.0,65.0,65.0,65.0,,
70.0,66.0,70.0,,,,,70.0,
64.5,66.0,64.5,,,64.5,,,
62.0,66.0,62.0,62.0,62.0,,,,
67.2,66.5,67.2,67.2,67.2,,67.2,67.2,
67.0,66.5,67.0,67.0,67.0,,,,
65.0,66.5,65.0,65.0,65.0,65.0,,,
65.0,66.5,65.0,65.0,65.0,65.0,,,
65.0,66.5,65.0,65.0,65.0,,,,
63.0,66.5,63.0,63.0,63.0,63.0,,,
70.0,66.5,70.0,70.0,70.0,70.0,70.0,,
68.0,66.5,68.0,,,68.0,,,
63.5,66.5,63.5,63.5,,63.5,,,
62.5,66.5,62.5,62.5,62.5,62.5,,,
62.5,66.5,,62.5,,62.5,,,
62.5,66.5,62.5,62.5,62.5,62.5,,,
62.5,66.5,62.5,62.5,62.5,62.5,,,62.5
70.0,66.0,70.0,70.0,70.0,,,,
68.0,66.0,68.0,68.0,68.0,,,,
67.0,66.0,67.0,67.0,67.0,,67.0,,
65.0,66.0,65.0,65.0,65.0,65.0,,,
60.0,66.0,60.0,60.0,60.0,60.0,,,
65.0,66.0,65.0,65.0,65.0,,,,
68.0,66.0,68.0,68.0,,68.0,,,
67.0,66.0,67.0,67.0,67.0,67.0,,,
66.5,66.0,66.5,66.5,,66.5,,,
66.0,66.0,66.0,,,66.0,,,
65.7,66.0,65.7,65.7,65.7,,65.7,,
65.5,66.0,65.5,65.5,65.5,65.5,65.5,65.5,
65.0,66.0,65.0,65.0,65.0,65.0,65.0,,
65.0,66.0,65.0,65.0,65.0,65.0,,65.0,
64.0,66.0,64.0,64.0,64.0,64.0,,,64.0
63.0,66.0,,63.0,63.0,,,,
62.0,66.0,62.0,62.0,62.0,,62.0,,
61.0,66.0,61.0,61.0,,61.0,,,
60.0,66.0,60.0,,60.0,60.0,,,
58.0,66.0,58.0,,58.0,,,,58.0
57.0,66.0,57.0,57.0,,57.0,57.0,57.0,
66.5,65.0,66.5,66.5,66.5,66.5,,,
66.0,65.0,66.0,66.0,66.0,,66.0,,
66.0,65.0,66.0,66.0,,,,,
65.0,65.0,65.0,65.0,65.0,,,,
63.0,65.0,63.0,63.0,63.0,63.0,,,
63.0,65.0,63.0,63.0,63.0,63.0,,,
63.0,65.0,63.0,63.0,63.0,63.0,63.0,,
63.0,65.0,63.0,63.0,63.0,,,,
60.0,65.0,60.0,60.0,60.0,60.0,60.0,,
67.0,65.0,67.0,67.0,,67.0,,,
66.0,65.0,66.0,66.0,66.0,,66.0,,
65.0,65.0,,,65.0,,,,
65.0,65.0,65.0,65.0,,,,,
61.0,65.0,61.0,61.0,61.0,61.0,,61.0,61.0
69.0,65.0,69.0,,69.0,69.0,,,
68.0,65.0,68.0,68.0,68.0,68.0,68.0,,
68.0,65.0,68.0,68.0,68.0,,,,
65.0,65.0,65.0,65.0,65.0,65.0,,,
65.0,65.0,65.0,65.0,65.0,65.0,,,
62.0,65.0,62.0,62.0,62.0,62.0,,,
62.0,65.0,62.0,62.0,,62.0,,,
61.0,65.0,61.0,61.0,61.0,,,,
59.0,65.0,59.0,59.0,59.0,59.0,,59.0,
70.7,65.0,70.7,70.7,70.7,,,,
65.5,65.0,65.5,65.5,65.5,,65.5,,
69.2,65.0,69.2,69.2,,,,,
69.0,65.0,69.0,,69.0,69.0,,,
68.0,65.0,68.0,68.0,,68.0,,,
67.7,65.0,67.7,,67.7,,,,
64.5,65.0,64.5,64.5,64.5,64.5,,,
60.5,65.0,60.5,60.5,,60.5,,,
67.0,65.0,67.0,67.0,67.0,,,,
67.0,65.0,67.0,67.0,67.0,67.0,,,
64.0,65.0,64.0,,64.0,64.0,64.0,64.0,
64.0,65.0,,64.0,64.0,64.0,,,
62.5,65.0,62.5,62.5,62.5,62.5,,,
60.5,65.0,60.5,60.5,60.5,,,,60.5
70.0,65.0,70.0,70.0,70.0,70.0,,,
63.0,65.0,63.0,63.0,63.0,,63.0,,
66.0,65.0,66.0,66.0,66.0,66.0,66.0,,
66.0,65.0,66.0,66.0,66.0,66.0,,,
63.0,65.0,63.0,63.0,63.0,,,63.0,
71.0,65.5,71.0,71.0,71.0,71.0,,,
71.0,65.5,71.0,71.0,71.0,,,,
69.0,65.5,69.0,69.0,69.0,69.0,,,
63.5,65.5,63.5,63.5,63.5,,63.5,,
68.0,65.5,68.0,68.0,68.0,,68.0,,
68.0,65.5,68.0,68.0,68.0,68.0,68.0,68.0,
67.0,65.5,67.0,,67.0,67.0,,67.0,
67.0,65.5,67.0,67.0,67.0,67.0,,,
62.0,65.5,62.0,62.0,62.0,,,62.0,
71.5,64.0,71.5,71.5,,71.5,71.5,,
68.0,64.0,68.0,68.0,,68.0,68.0,,
65.5,64.0,65.5,65.5,,65.5,65.5,,
64.0,64.0,64.0,64.0,64.0,,,,
62.0,64.0,62.0,62.0,62.0,62.0,,,
62.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,
61.0,64.0,61.0,61.0,,61.0,,,
70.5,64.0,70.5,70.5,,70.5,,,
68.0,64.0,68.0,,68.0,68.0,68.0,,
67.0,64.0,67.0,67.0,67.0,67.0,,,
65.0,64.0,65.0,65.0,65.0,65.0,65.0,,
64.0,64.0,64.0,,64.0,,,,
64.0,64.0,64.0,64.0,64.0,,,,
60.0,64.0,60.0,60.0,60.0,60.0,,,
64.5,64.0,64.5,64.5,64.5,64.5,,,
66.0,64.0,66.0,66.0,66.0,66.0,66.0,,
60.0,64.0,60.0,60.0,60.0,60.0,,,
68.5,63.0,68.5,68.5,68.5,68.5,,,
63.5,63.0,63.5,63.5,,,,,
64.0,62.0,64.0,64.0,64.0,64.0,,,
62.0,62.0,62.0,62.0,62.0,62.0,62.0,,
61.0,62.0,61.0,61.0,61.0,,,,
66.5,62.5,66.5,66.5,66.5,66.5,66.5,,
57.0,62.5,57.0,57.0,,,,,57.0
