father,mother,children,childNum,gender,childHeight
69.5,66.0,7,7,0,64.5
69.0,66.0,9,1,1,73.0
69.0,66.0,9,2,1,72.0
69.0,66.0,9,3,1,69.0
69.0,66.0,9,4,1,69.0
69.0,66.0,9,5,0,66.5
69.0,66.0,9,6,0,65.5
69.0,66.0,9,7,0,65.5
69.0,66.0,9,8,0,65.0
69.0,66.0,9,9,0,64.0
69.0,65.0,7,1,1,70.0
69.0,65.0,7,2,1,68.5
69.0,65.0,7,3,1,67.0
69.0,65.0,7,4,0,65.0
69.0,65.0,7,5,0,64.0
69.0,65.0,7,6,0,63.5
69.0,65.0,7,7,0,61.0
69.5,64.5,7,1,1,69.7
69.5,64.5,7,2,1,68.0
69.5,64.5,7,3,1,60.0
69.5,64.5,7,4,0,65.2
69.5,64.5,7,5,0,64.5
69.5,64.5,7,6,0,63.7
69.5,64.5,7,7,0,60.0
69.2,64.0,4,1,1,71.7
69.2,64.0,4,2,1,66.5
69.2,64.0,4,3,0,65.0
69.2,64.0,4,4,0,63.5
69.0,63.5,1,1,0,65.5
69.0,63.0,3,1,1,69.0
69.0,63.0,3,2,0,67.5
69.0,63.0,3,3,0,63.5
69.0,63.0,1,1,1,72.0
69.0,63.0,6,1,1,73.0
69.0,63.0,6,2,1,70.0
69.0,63.0,6,3,1,70.0
69.0,63.0,6,4,1,64.0
69.0,63.0,6,5,0,66.0
69.0,63.0,6,6,0,62.0
69.0,63.5,7,1,1,70.5
69.0,63.5,7,2,1,67.0
69.0,63.5,7,3,1,66.0
69.0,63.5,7,4,0,65.0
69.0,63.5,7,5,0,63.0
69.0,63.5,7,6,0,62.0
69.0,63.5,7,7,0,61.0
69.0,63.5,3,1,1,70.5
69.0,63.5,3,2,0,63.7
69.0,63.5,3,3,0,63.0
69.7,62.0,1,1,0,62.5
69.5,62.0,3,1,1,73.0
69.5,62.0,3,2,1,72.0
69.5,62.0,3,3,1,69.0
69.0,62.0,5,1,1,73.0
69.0,62.0,5,2,1,71.0
69.0,62.0,5,3,1,71.0
69.0,62.0,5,4,1,69.0
69.0,62.0,5,5,0,63.0
69.5,62.0,11,1,1,72.0
69.5,62.0,11,2,1,70.0
69.5,62.0,11,3,1,67.8
69.5,62.0,11,4,0,65.2
69.5,62.0,11,5,0,64.7
69.5,62.0,11,6,0,64.5
69.5,62.0,11,7,0,63.5
69.5,62.0,11,8,0,63.5
69.5,62.0,11,9,0,62.5
69.5,62.0,11,10,0,62.0
69.5,62.0,11,11,0,61.5
69.0,62.5,8,1,1,71.0
69.0,62.5,8,2,1,70.0
69.0,62.5,8,3,1,70.0
69.0,62.5,8,4,1,69.0
69.0,62.5,8,5,0,63.5
69.0,62.5,8,6,0,62.5
69.0,62.5,8,7,0,62.5
69.0,62.5,8,8,0,62.0
69.0,62.0,4,1,1,72.0
69.0,62.0,4,2,1,68.0
69.0,62.0,4,3,0,66.0
69.0,62.0,4,4,0,66.0
69.5,61.0,5,1,1,70.0
69.5,61.0,5,2,1,69.5
69.5,61.0,5,3,1,69.0
69.5,61.0,5,4,0,63.0
69.5,61.0,5,5,0,62.0
69.0,61.0,9,1,1,68.0
69.0,61.0,9,2,1,68.0
69.0,61.0,9,3,1,67.5
69.0,61.0,9,4,1,64.0
69.0,61.0,9,5,1,63.0
69.0,61.0,9,6,1,63.0
69.0,61.0,9,7,0,63.5
69.0,61.0,9,8,0,62.0
69.0,61.0,9,9,0,62.0
69.0,60.0,3,1,1,70.5
69.0,60.0,3,2,0,68.0
69.0,60.0,3,3,0,62.5
69.0,60.0,4,1,1,69.0
69.0,60.0,4,2,1,66.0
69.0,60.0,4,3,0,61.7
69.0,60.0,4,4,0,60.5
69.0,60.5,1,1,1,69.5
68.7,70.5,2,1,1,71.0
68.7,70.5,2,2,0,61.7
68.5,67.0,3,1,1,73.0
68.5,67.0,3,2,1,71.0
68.5,67.0,3,3,0,67.0
68.5,66.5,11,1,1,70.0
68.5,66.5,11,2,1,69.0
68.5,66.5,11,3,1,69.0
68.5,66.5,11,4,1,68.7
68.5,66.5,11,5,1,68.5
68.5,66.5,11,6,1,68.5
68.5,66.5,11,7,1,68.0
68.5,66.5,11,8,1,68.0
68.5,66.5,11,9,1,68.0
68.5,66.5,11,10,1,66.2
68.5,66.5,11,11,0,63.2
68.0,65.0,2,1,1,67.5
68.0,65.0,2,2,1,66.0
68.0,65.5,2,1,1,66.0
68.0,65.5,2,2,0,64.0
68.0,65.5,7,1,1,71.7
68.0,65.5,7,2,1,71.5
68.0,65.5,7,3,1,70.7
68.0,65.5,7,4,1,65.5
68.0,65.5,7,5,0,66.5
68.0,65.5,7,6,0,65.2
68.0,65.5,7,7,0,61.5
68.0,65.0,4,1,1,72.0
68.0,65.0,4,2,1,72.0
68.0,65.0,4,3,0,68.0
68.0,65.0,4,4,0,66.0
68.5,65.0,8,1,1,69.2
68.5,65.0,8,2,1,68.0
68.5,65.0,8,3,1,66.0
68.5,65.0,8,4,1,66.0
68.5,65.0,8,5,0,62.0
68.5,65.0,8,6,0,61.5
68.5,65.0,8,7,0,61.0
68.5,65.0,8,8,0,60.0
68.5,65.0,8,1,1,72.0
68.5,65.0,8,2,1,70.5
68.5,65.0,8,3,1,68.7
68.5,65.0,8,4,1,68.5
68.5,65.0,8,5,1,67.7
68.5,65.0,8,6,0,64.0
68.5,65.0,8,7,0,63.5
68.5,65.0,8,8,0,63.0
68.0,64.0,10,1,1,71.0
68.0,64.0,10,2,1,68.0
68.0,64.0,10,3,1,68.0
68.0,64.0,10,4,1,67.0
68.0,64.0,10,5,0,65.0
68.0,64.0,10,6,0,64.0
68.0,64.0,10,7,0,63.0
68.0,64.0,10,8,0,63.0
68.0,64.0,10,9,0,62.0
68.0,64.0,10,10,0,61.0
68.0,64.0,4,1,1,66.0
68.0,64.0,4,2,1,63.0
68.0,64.0,4,3,0,65.5
68.0,64.0,4,4,0,62.0
68.0,64.0,5,1,1,71.2
68.0,64.0,5,2,1,71.2
68.0,64.0,5,3,1,69.0
68.0,64.0,5,4,1,68.5
68.0,64.0,5,5,0,62.5
68.0,64.5,1,1,0,62.0
68.0,64.0,10,1,1,69.0
68.0,64.0,10,2,1,67.0
68.0,64.0,10,3,1,66.0
68.0,64.0,10,4,0,66.0
68.0,64.0,10,5,0,66.0
68.0,64.0,10,6,0,65.0
68.0,64.0,10,7,0,65.0
68.0,64.0,10,8,0,65.0
68.0,64.0,10,9,0,64.0
68.0,64.0,10,10,0,63.0
68.0,63.0,8,1,1,70.5
68.0,63.0,8,2,1,70.0
68.0,63.0,8,3,1,68.0
68.0,63.0,8,4,1,66.0
68.0,63.0,8,5,1,66.0
68.0,63.0,8,6,0,66.0
68.0,63.0,8,7,0,62.0
68.0,63.0,8,8,0,61.5
68.5,63.5,4,1,1,73.5
68.5,63.5,4,2,1,70.0
68.5,63.5,4,3,1,69.5
68.5,63.5,4,4,0,65.5
68.0,63.0,1,1,1,67.0
68.0,63.0,4,1,1,70.0
68.0,63.0,4,2,1,68.0
68.0,63.0,4,3,0,64.5
68.0,63.0,4,4,0,64.0
68.0,63.0,8,1,1,71.0
68.0,63.0,8,2,1,68.0
68.0,63.0,8,3,1,66.0
68.0,63.0,8,4,1,65.5
68.0,63.0,8,5,1,65.0
68.0,63.0,8,6,0,63.0
68.0,63.0,8,7,0,62.0
68.0,63.0,8,8,0,62.0
68.0,63.0,6,1,1,67.0
68.0,63.0,6,2,1,67.0
68.0,63.0,6,3,1,66.0
68.0,63.0,6,4,0,64.0
68.0,63.0,6,5,0,63.5
68.0,63.0,6,6,0,61.0
68.5,63.5,1,1,1,68.2
68.0,63.0,1,1,1,70.0
68.2,63.5,5,1,1,70.0
68.2,63.5,5,2,1,69.0
68.2,63.5,5,3,1,67.0
68.2,63.5,5,4,1,65.5
68.2,63.5,5,5,0,64.5
68.0,62.5,1,1,1,68.5
68.7,62.0,2,1,1,67.7
68.7,62.0,2,2,0,61.7
68.0,62.5,1,1,1,66.5
68.0,61.0,5,1,1,68.5
68.0,61.0,5,2,1,68.0
68.0,61.0,5,3,1,64.0
68.0,61.0,5,4,0,63.5
68.0,61.0,5,5,0,63.0
68.0,60.2,1,1,1,66.7
68.0,60.0,7,1,1,64.0
68.0,60.0,7,2,0,61.0
68.0,60.0,7,3,0,61.0
68.0,60.0,7,4,0,60.0
68.0,60.0,7,5,0,60.0
68.0,60.0,7,6,0,60.0
68.0,60.0,7,7,0,56.0
68.0,60.0,4,1,1,67.5
68.0,60.0,4,2,1,67.0
68.0,60.0,4,3,1,66.5
68.0,60.0,4,4,0,60.0
68.5,59.0,1,1,1,69.0
68.0,59.0,10,1,1,68.0
68.0,59.0,10,2,1,65.0
68.0,59.0,10,3,1,64.7
68.0,59.0,10,4,1,64.0
68.0,59.0,10,5,1,64.0
68.0,59.0,10,6,1,63.0
68.0,59.0,10,7,0,65.0
68.0,59.0,10,8,0,65.0
68.0,59.0,10,9,0,62.0
68.0,59.0,10,10,0,61.0
67.0,66.2,5,1,1,72.7
67.0,66.2,5,2,1,72.7
67.0,66.2,5,3,1,71.5
67.0,66.2,5,4,0,65.5
67.0,66.2,5,5,0,63.5
67.0,66.5,1,1,1,71.0
67.0,66.0,8,1,1,73.0
67.0,66.0,8,2,1,71.0
67.0,66.0,8,3,1,70.7
67.0,66.0,8,4,1,70.0
67.0,66.0,8,5,1,69.0
67.0,66.0,8,6,0,68.0
67.0,66.0,8,7,0,65.5
67.0,66.0,8,8,0,62.0
67.0,65.0,6,1,1,69.7
67.0,65.0,6,2,1,67.5
67.0,65.0,6,3,0,65.5
67.0,65.0,6,4,0,65.0
67.0,65.0,6,5,0,64.5
67.0,65.0,6,6,0,63.5
67.0,65.5,5,1,1,70.0
67.0,65.5,5,2,1,69.0
67.0,65.5,5,3,0,65.5
67.0,65.5,5,4,0,65.5
67.0,65.5,5,5,0,63.0
67.0,65.5,4,1,1,70.0
67.0,65.5,4,2,1,67.7
67.0,65.5,4,3,0,63.0
67.0,65.5,4,4,0,60.0
67.0,65.0,3,1,1,65.0
67.0,65.0,3,2,0,62.0
67.0,65.0,3,3,0,62.0
67.5,65.0,11,1,1,71.0
67.5,65.0,11,2,1,69.0
67.5,65.0,11,3,0,64.0
67.5,65.0,11,4,0,64.0
67.5,65.0,11,5,0,63.0
67.5,65.0,11,6,0,63.0
67.5,65.0,11,7,0,63.0
67.5,65.0,11,8,0,63.0
67.5,65.0,11,9,0,63.0
67.5,65.0,11,10,0,62.5
67.5,65.0,11,11,0,62.0
67.0,64.0,4,1,1,71.5
67.0,64.0,4,2,1,70.0
67.0,64.0,4,3,1,67.0
67.0,64.0,4,4,1,67.0
67.0,63.5,8,1,1,71.0
67.0,63.5,8,2,1,70.2
67.0,63.5,8,3,1,69.2
67.0,63.5,8,4,1,68.5
67.0,63.5,8,5,1,68.0
67.0,63.5,8,6,1,67.0
67.0,63.5,8,7,1,65.5
67.0,63.5,8,8,0,63.5
67.0,63.0,3,1,1,69.0
67.0,63.0,3,2,1,68.0
67.0,63.0,3,3,0,63.0
67.5,62.0,5,1,1,70.0
67.5,62.0,5,2,1,69.5
67.5,62.0,5,3,1,69.0
67.5,62.0,5,4,1,68.5
67.5,62.0,5,5,0,66.0
67.0,61.0,1,1,1,67.0
66.0,67.0,8,1,1,70.5
66.0,67.0,8,2,1,70.5
66.0,67.0,8,3,1,67.0
66.0,67.0,8,4,1,66.0
66.0,67.0,8,5,1,66.0
66.0,67.0,8,6,0,62.0
66.0,67.0,8,7,0,62.0
66.0,67.0,8,8,0,61.5
66.0,67.0,9,1,1,72.0
66.0,67.0,9,2,1,65.0
66.0,67.0,9,3,1,65.0
66.0,67.0,9,4,0,67.0
66.0,67.0,9,5,0,64.0
66.0,67.0,9,6,0,64.0
66.0,67.0,9,7,0,62.0
66.0,67.0,9,8,0,60.0
66.0,67.0,9,9,0,60.0
66.0,66.0,5,1,1,66.0
66.0,66.0,5,2,1,65.0
66.0,66.0,5,3,0,67.0
66.0,66.0,5,4,0,66.5
66.0,66.0,5,5,0,65.5
66.0,66.0,6,1,1,72.0
66.0,66.0,6,2,1,68.0
66.0,66.0,6,3,0,66.0
66.0,66.0,6,4,0,65.0
66.0,66.0,6,5,0,62.0
66.0,66.0,6,6,0,61.0
66.5,65.0,8,1,1,68.7
66.5,65.0,8,2,1,68.5
66.5,65.0,8,3,1,66.5
66.5,65.0,8,4,1,64.5
66.5,65.0,8,5,0,62.5
66.5,65.0,8,6,0,60.5
66.5,65.0,8,7,0,60.5
66.5,65.0,8,8,0,57.5
66.0,65.5,5,1,1,72.0
66.0,65.5,5,2,1,71.0
66.0,65.5,5,3,1,67.0
66.0,65.5,5,4,0,66.0
66.0,65.5,5,5,0,65.0
66.0,63.0,1,1,1,70.0
66.0,63.5,2,1,0,64.5
66.0,63.5,2,2,0,62.0
66.5,63.0,6,1,1,67.2
66.5,63.0,6,2,1,67.0
66.5,63.0,6,3,1,65.0
66.5,63.0,6,4,0,65.0
66.5,63.0,6,5,0,65.0
66.5,63.0,6,6,0,63.0
66.5,62.5,7,1,1,70.0
66.5,62.5,7,2,1,68.0
66.5,62.5,7,3,0,63.5
66.5,62.5,7,4,0,62.5
66.5,62.5,7,5,0,62.5
66.5,62.5,7,6,0,62.5
66.5,62.5,7,7,0,62.5
66.0,61.5,1,1,1,70.0
66.0,60.0,4,1,1,68.0
66.0,60.0,4,2,1,67.0
66.0,60.0,4,3,1,65.0
66.0,60.0,4,4,0,60.0
66.0,60.0,1,1,1,65.0
66.0,59.0,15,1,1,68.0
66.0,59.0,15,2,1,67.0
66.0,59.0,15,3,1,66.5
66.0,59.0,15,4,1,66.0
66.0,59.0,15,5,1,65.7
66.0,59.0,15,6,1,65.5
66.0,59.0,15,7,1,65.0
66.0,59.0,15,8,0,65.0
66.0,59.0,15,9,0,64.0
66.0,59.0,15,10,0,63.0
66.0,59.0,15,11,0,62.0
66.0,59.0,15,12,0,61.0
66.0,59.0,15,13,0,60.0
66.0,59.0,15,14,0,58.0
66.0,59.0,15,15,0,57.0
65.0,67.0,4,1,1,66.5
65.0,67.0,4,2,1,66.0
65.0,67.0,4,3,1,66.0
65.0,67.0,4,4,0,65.0
65.0,67.0,1,1,0,63.0
65.0,66.0,4,1,1,63.0
65.0,66.0,4,2,0,63.0
65.0,66.0,4,3,0,63.0
65.0,66.0,4,4,0,60.0
65.0,66.0,5,1,1,67.0
65.0,66.0,5,2,1,66.0
65.0,66.0,5,3,1,65.0
65.0,66.0,5,4,0,65.0
65.0,66.0,5,5,0,61.0
65.0,65.0,9,1,1,69.0
65.0,65.0,9,2,1,68.0
65.0,65.0,9,3,1,68.0
65.0,65.0,9,4,0,65.0
65.0,65.0,9,5,0,65.0
65.0,65.0,9,6,0,62.0
65.0,65.0,9,7,0,62.0
65.0,65.0,9,8,0,61.0
65.0,65.0,9,9,0,59.0
65.0,65.5,2,1,1,70.7
65.0,65.5,2,2,0,65.5
65.0,65.0,6,1,1,69.2
65.0,65.0,6,2,1,69.0
65.0,65.0,6,3,1,68.0
65.0,65.0,6,4,1,67.7
65.0,65.0,6,5,0,64.5
65.0,65.0,6,6,0,60.5
65.0,64.0,6,1,1,67.0
65.0,64.0,6,2,1,67.0
65.0,64.0,6,3,0,64.0
65.0,64.0,6,4,0,64.0
65.0,64.0,6,5,0,62.5
65.0,64.0,6,6,0,60.5
65.0,63.0,2,1,1,70.0
65.0,63.0,2,2,0,63.0
65.0,63.0,3,1,1,66.0
65.0,63.0,3,2,1,66.0
65.0,63.0,3,3,0,63.0
65.5,63.0,4,1,1,71.0
65.5,63.0,4,2,1,71.0
65.5,63.0,4,3,1,69.0
65.5,63.0,4,4,0,63.5
65.5,60.0,5,1,1,68.0
65.5,60.0,5,2,1,68.0
65.5,60.0,5,3,1,67.0
65.5,60.0,5,4,1,67.0
65.5,60.0,5,5,0,62.0
64.0,64.0,7,1,1,71.5
64.0,64.0,7,2,1,68.0
64.0,64.0,7,3,0,65.5
64.0,64.0,7,4,0,64.0
64.0,64.0,7,5,0,62.0
64.0,64.0,7,6,0,62.0
64.0,64.0,7,7,0,61.0
64.0,64.0,7,1,1,70.5
64.0,64.0,7,2,1,68.0
64.0,64.0,7,3,0,67.0
64.0,64.0,7,4,0,65.0
64.0,64.0,7,5,0,64.0
64.0,64.0,7,6,0,64.0
64.0,64.0,7,7,0,60.0
64.0,63.0,1,1,1,64.5
64.0,60.0,2,1,1,66.0
64.0,60.0,2,2,0,60.0
63.0,63.5,2,1,0,68.5
63.0,63.5,2,2,0,63.5
62.0,66.0,3,1,1,64.0
62.0,66.0,3,2,0,62.0
62.0,66.0,3,3,0,61.0
62.5,63.0,2,1,1,66.5
62.5,63.0,2,2,0,57.0
